Death Penalty Status,Murder Rate,Number of Records,Region,State,Year
Death Penalty,2.3,1,West,Oregon,1/1/2009
Death Penalty,1.4,1,West,Utah,1/1/2009
Death Penalty,2.85,1,West,Washington,1/1/2009
Death Penalty,2.02,1,West,Wyoming,1/1/2009
Death Penalty,6.36,1,West,Arizona,1/1/2010
Death Penalty,4.84,1,West,California,1/1/2010
Death Penalty,2.56,1,West,Colorado,1/1/2010
Death Penalty,1.4,1,West,Idaho,1/1/2010
Death Penalty,2.52,1,West,Montana,1/1/2010
Death Penalty,5.84,1,West,Nevada,1/1/2010
Death Penalty,2.5,1,West,Oregon,1/1/2010
Death Penalty,1.91,1,West,Utah,1/1/2010
Death Penalty,2.28,1,West,Washington,1/1/2010
Death Penalty,1.42,1,West,Wyoming,1/1/2010
Death Penalty,6.14,1,West,Arizona,1/1/2011
Death Penalty,4.76,1,West,California,1/1/2011
Death Penalty,3.03,1,West,Colorado,1/1/2011
Death Penalty,2.21,1,West,Idaho,1/1/2011
Death Penalty,2.91,1,West,Montana,1/1/2011
Death Penalty,5.11,1,West,Nevada,1/1/2011
Death Penalty,2.17,1,West,Oregon,1/1/2011
Death Penalty,1.78,1,West,Utah,1/1/2011
Death Penalty,2.39,1,West,Washington,1/1/2011
Death Penalty,3.17,1,West,Wyoming,1/1/2011
Death Penalty,5.46,1,West,Arizona,1/1/2012
Death Penalty,4.96,1,West,California,1/1/2012
Death Penalty,2.93,1,West,Colorado,1/1/2012
Death Penalty,1.88,1,West,Idaho,1/1/2012
Death Penalty,2.88,1,West,Montana,1/1/2012
Death Penalty,4.5,1,West,Nevada,1/1/2012
Death Penalty,2.33,1,West,Oregon,1/1/2012
Death Penalty,1.82,1,West,Utah,1/1/2012
Death Penalty,3.15,1,West,Washington,1/1/2012
Death Penalty,2.43,1,West,Wyoming,1/1/2012
Death Penalty,5.35,1,West,Arizona,1/1/2013
Death Penalty,4.54,1,West,California,1/1/2013
Death Penalty,3.3,1,West,Colorado,1/1/2013
Death Penalty,1.8,1,West,Idaho,1/1/2013
Death Penalty,2.27,1,West,Montana,1/1/2013
Death Penalty,5.84,1,West,Nevada,1/1/2013
Death Penalty,2.09,1,West,Oregon,1/1/2013
Death Penalty,1.76,1,West,Utah,1/1/2013
Death Penalty,2.39,1,West,Washington,1/1/2013
Death Penalty,2.91,1,West,Wyoming,1/1/2013
Death Penalty,4.74,1,West,Arizona,1/1/2014
Death Penalty,4.38,1,West,California,1/1/2014
Death Penalty,2.82,1,West,Colorado,1/1/2014
Death Penalty,1.96,1,West,Idaho,1/1/2014
Death Penalty,3.61,1,West,Montana,1/1/2014
Death Penalty,5.99,1,West,Nevada,1/1/2014
Death Penalty,2.04,1,West,Oregon,1/1/2014
Death Penalty,2.28,1,West,Utah,1/1/2014
Death Penalty,2.46,1,West,Washington,1/1/2014
Death Penalty,2.74,1,West,Wyoming,1/1/2014
Death Penalty,4.49,1,West,Arizona,1/1/2015
Death Penalty,4.77,1,West,California,1/1/2015
Death Penalty,3.17,1,West,Colorado,1/1/2015
Death Penalty,1.94,1,West,Idaho,1/1/2015
Death Penalty,3.68,1,West,Montana,1/1/2015
Death Penalty,6.17,1,West,Nevada,1/1/2015
Death Penalty,2.73,1,West,Oregon,1/1/2015
Death Penalty,1.91,1,West,Utah,1/1/2015
Death Penalty,3.04,1,West,Washington,1/1/2015
Death Penalty,2.73,1,West,Wyoming,1/1/2015
Death Penalty,5.63,1,West,Arizona,1/1/2016
Death Penalty,4.91,1,West,California,1/1/2016
Death Penalty,3.42,1,West,Colorado,1/1/2016
Death Penalty,2.92,1,West,Idaho,1/1/2016
Death Penalty,3.56,1,West,Montana,1/1/2016
Death Penalty,7.76,1,West,Nevada,1/1/2016
Death Penalty,2.84,1,West,Oregon,1/1/2016
Death Penalty,2.43,1,West,Utah,1/1/2016
Death Penalty,2.68,1,West,Washington,1/1/2016
Death Penalty,3.42,1,West,Wyoming,1/1/2016
Death Penalty,5.93,1,West,Arizona,1/1/2017
Death Penalty,4.63,1,West,California,1/1/2017
Death Penalty,3.94,1,West,Colorado,1/1/2017
Death Penalty,1.86,1,West,Idaho,1/1/2017
Death Penalty,3.9,1,West,Montana,1/1/2017
Death Penalty,9.14,1,West,Nevada,1/1/2017
Death Penalty,2.51,1,West,Oregon,1/1/2017
Death Penalty,2.35,1,West,Utah,1/1/2017
Death Penalty,3.11,1,West,Washington,1/1/2017
Death Penalty,2.59,1,West,Wyoming,1/1/2017
No Death Penalty,2.2,1,Midwest,North Dakota,1/1/2006
No Death Penalty,2.97,1,Midwest,Wisconsin,1/1/2006
No Death Penalty,1.31,1,Midwest,Iowa,1/1/2007
No Death Penalty,6.56,1,Midwest,Michigan,1/1/2007
No Death Penalty,2.23,1,Midwest,Minnesota,1/1/2007
No Death Penalty,2.66,1,Midwest,North Dakota,1/1/2007
No Death Penalty,3.3,1,Midwest,Wisconsin,1/1/2007
No Death Penalty,2.56,1,Midwest,Iowa,1/1/2008
No Death Penalty,5.54,1,Midwest,Michigan,1/1/2008
No Death Penalty,2.11,1,Midwest,Minnesota,1/1/2008
No Death Penalty,1.71,1,Midwest,North Dakota,1/1/2008
No Death Penalty,2.59,1,Midwest,Wisconsin,1/1/2008
No Death Penalty,1.26,1,Midwest,Iowa,1/1/2009
No Death Penalty,6.25,1,Midwest,Michigan,1/1/2009
No Death Penalty,1.41,1,Midwest,Minnesota,1/1/2009
No Death Penalty,1.86,1,Midwest,North Dakota,1/1/2009
No Death Penalty,2.58,1,Midwest,Wisconsin,1/1/2009
No Death Penalty,1.25,1,Midwest,Iowa,1/1/2010
No Death Penalty,5.87,1,Midwest,Michigan,1/1/2010
No Death Penalty,1.81,1,Midwest,Minnesota,1/1/2010
No Death Penalty,1.48,1,Midwest,North Dakota,1/1/2010
No Death Penalty,2.72,1,Midwest,Wisconsin,1/1/2010
No Death Penalty,6.07,1,Midwest,Illinois,1/1/2011
No Death Penalty,1.44,1,Midwest,Iowa,1/1/2011
No Death Penalty,6.25,1,Midwest,Michigan,1/1/2011
No Death Penalty,1.4,1,Midwest,Minnesota,1/1/2011
No Death Penalty,3.5,1,Midwest,North Dakota,1/1/2011
No Death Penalty,2.42,1,Midwest,Wisconsin,1/1/2011
No Death Penalty,5.98,1,Midwest,Illinois,1/1/2012
No Death Penalty,1.59,1,Midwest,Iowa,1/1/2012
No Death Penalty,7.09,1,Midwest,Michigan,1/1/2012
No Death Penalty,1.84,1,Midwest,Minnesota,1/1/2012
No Death Penalty,3.56,1,Midwest,North Dakota,1/1/2012
No Death Penalty,2.95,1,Midwest,Wisconsin,1/1/2012
No Death Penalty,5.6,1,Midwest,Illinois,1/1/2013
No Death Penalty,1.33,1,Midwest,Iowa,1/1/2013
No Death Penalty,6.31,1,Midwest,Michigan,1/1/2013
No Death Penalty,2.1,1,Midwest,Minnesota,1/1/2013
No Death Penalty,2.21,1,Midwest,North Dakota,1/1/2013
No Death Penalty,2.84,1,Midwest,Wisconsin,1/1/2013
No Death Penalty,5.32,1,Midwest,Illinois,1/1/2014
No Death Penalty,1.93,1,Midwest,Iowa,1/1/2014
No Death Penalty,5.4,1,Midwest,Michigan,1/1/2014
No Death Penalty,1.61,1,Midwest,Minnesota,1/1/2014
No Death Penalty,2.98,1,Midwest,North Dakota,1/1/2014
No Death Penalty,2.87,1,Midwest,Wisconsin,1/1/2014
No Death Penalty,5.87,1,Midwest,Illinois,1/1/2015
No Death Penalty,2.34,1,Midwest,Iowa,1/1/2015
No Death Penalty,5.9,1,Midwest,Michigan,1/1/2015
No Death Penalty,2.43,1,Midwest,Minnesota,1/1/2015
No Death Penalty,2.77,1,Midwest,North Dakota,1/1/2015
No Death Penalty,4.16,1,Midwest,Wisconsin,1/1/2015
No Death Penalty,8.27,1,Midwest,Illinois,1/1/2016
No Death Penalty,2.33,1,Midwest,Iowa,1/1/2016
No Death Penalty,6.16,1,Midwest,Michigan,1/1/2016
No Death Penalty,1.83,1,Midwest,Minnesota,1/1/2016
No Death Penalty,2.12,1,Midwest,North Dakota,1/1/2016
No Death Penalty,4.02,1,Midwest,Wisconsin,1/1/2016
No Death Penalty,7.79,1,Midwest,Illinois,1/1/2017
No Death Penalty,3.31,1,Midwest,Iowa,1/1/2017
No Death Penalty,5.71,1,Midwest,Michigan,1/1/2017
No Death Penalty,2.03,1,Midwest,Minnesota,1/1/2017
No Death Penalty,1.32,1,Midwest,North Dakota,1/1/2017
No Death Penalty,3.21,1,Midwest,Wisconsin,1/1/2017
No Death Penalty,4.78,1,Northeast,New York,1/1/2006
No Death Penalty,2.53,1,Northeast,Rhode Island,1/1/2006
No Death Penalty,2.24,1,Northeast,Vermont,1/1/2006
No Death Penalty,1.52,1,Northeast,Maine,1/1/2007
No Death Penalty,2.9,1,Northeast,Massachusetts,1/1/2007
No Death Penalty,4.39,1,Northeast,New Jersey,1/1/2007
No Death Penalty,4.17,1,Northeast,New York,1/1/2007
No Death Penalty,1.8,1,Northeast,Rhode Island,1/1/2007
No Death Penalty,2.09,1,Northeast,Vermont,1/1/2007
No Death Penalty,2.35,1,Northeast,Maine,1/1/2008
