,State,Year,Unknown,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99
270,MI,1995,1,4,5,10,7,10,0,2,2,0,0
271,MI,1996,9,9,7,25,15,9,10,5,2,3,0
272,MI,1997,9,6,10,45,32,22,9,7,3,4,1
273,MI,1998,10,20,24,39,30,25,11,5,7,5,0
274,MI,1999,11,15,22,47,33,29,15,11,2,5,2
275,MI,2000,8,15,17,65,47,45,16,3,5,4,1
276,MI,2001,7,12,18,72,47,29,16,9,9,4,2
277,MI,2002,14,10,19,65,48,36,14,7,11,3,2
278,MI,2003,12,7,19,58,43,26,19,6,8,5,0
279,MI,2004,15,11,28,64,48,36,17,13,7,4,2
280,MI,2005,43,28,65,201,156,70,50,14,11,9,1
281,MI,2006,44,15,92,190,148,120,71,18,14,8,0
282,MI,2007,30,23,74,190,151,92,59,24,9,4,1
283,MI,2008,20,19,66,169,122,74,49,20,6,6,2
284,MI,2009,10,16,95,168,133,94,52,30,13,8,1
285,MI,2010,6,18,77,172,139,83,53,19,9,4,0
286,MI,2011,7,24,58,212,130,98,51,25,8,8,1
287,MI,2012,8,19,74,254,134,105,62,25,8,6,2
288,MI,2013,17,24,63,202,118,89,57,29,11,10,1
289,MI,2014,12,23,46,177,99,86,48,27,18,3,0
290,MI,2015,11,29,49,169,120,88,53,22,16,8,2
291,MI,2016,12,25,51,215,108,80,49,32,11,6,0
292,MI,2017,7,24,37,197,110,78,66,33,8,5,2
293,MN,2017,0,1,1,1,1,2,0,2,0,0,0
294,MO,2006,0,0,0,0,1,0,0,0,0,0,0
295,MO,2009,0,0,0,0,1,2,1,0,0,0,0
296,MO,2010,1,3,16,53,18,7,5,2,2,1,0
297,MO,2011,0,1,19,42,20,12,13,3,0,0,1
298,MO,2012,2,2,12,50,20,10,18,1,0,0,0
299,MO,2013,0,2,4,42,25,19,7,0,3,0,1
300,MO,2014,0,2,8,31,17,13,6,3,3,3,0
301,MO,2015,0,7,16,40,24,15,9,3,0,1,0
302,MO,2016,0,5,11,46,34,14,18,8,1,0,0
303,MO,2017,2,3,13,56,46,17,16,5,0,0,1
304,MS,2009,0,0,0,1,1,0,0,0,0,0,0
305,MS,2010,0,0,1,1,3,0,1,0,0,0,0
306,MS,2011,0,0,0,5,2,2,1,2,0,0,0
307,MS,2012,0,0,1,2,1,0,0,0,0,0,0
308,MS,2013,0,0,2,0,0,0,3,1,0,0,0
309,MS,2014,0,1,1,2,1,0,0,0,1,0,0
310,MS,2015,0,0,3,3,1,2,2,0,0,0,0
311,MS,2016,0,0,1,6,3,1,1,1,0,0,0
312,MS,2017,0,0,0,3,2,6,2,0,1,0,0
313,MT,2005,0,0,2,7,3,1,4,1,1,0,0
314,MT,2006,0,2,0,2,1,7,5,1,2,0,0
315,MT,2007,0,0,2,7,0,2,2,1,0,0,0
316,MT,2008,3,3,2,5,6,6,2,1,0,0,0
317,MT,2009,1,1,2,5,5,9,3,0,0,1,0
318,MT,2010,0,1,3,3,3,7,2,2,1,1,0
319,MT,2011,3,2,0,3,1,4,4,2,0,0,0
320,MT,2012,0,1,0,3,3,5,7,3,0,0,0
321,MT,2013,0,1,0,3,3,6,1,0,2,0,0
322,MT,2014,1,5,1,6,6,2,3,3,3,0,0
323,MT,2015,1,4,2,7,7,4,6,4,3,0,0
324,MT,2016,1,3,1,5,5,6,3,2,3,1,0
325,MT,2017,0,2,1,5,9,6,4,3,1,1,0
326,NE,1998,0,0,1,1,0,1,0,0,0,0,0
327,NE,1999,0,0,0,2,2,1,0,0,0,0,0
328,NE,2000,0,0,0,3,0,1,1,0,0,1,0
329,NE,2001,1,0,0,0,2,0,0,0,0,0,0
330,NE,2002,0,0,0,2,1,3,1,0,0,0,0
331,NE,2003,0,0,0,0,0,2,0,2,0,0,0
332,NE,2004,2,1,0,1,3,3,1,0,0,0,0
333,NE,2005,0,0,0,1,1,1,0,0,0,0,0
334,NE,2006,1,1,0,2,0,2,0,0,0,0,0
335,NE,2007,0,1,0,4,0,5,0,0,0,0,0
336,NE,2008,0,0,0,4,3,1,3,0,0,0,0
337,NE,2009,0,0,0,1,0,0,0,0,0,0,0
338,NE,2010,0,1,1,2,1,2,2,0,0,0,0
339,NE,2011,0,1,2,1,3,2,1,0,0,0,0
340,NE,2012,0,0,0,1,1,0,0,1,0,0,0
341,NE,2013,0,0,0,0,0,1,2,1,0,0,0
342,NE,2014,0,1,0,3,1,1,2,0,0,0,0
343,NE,2015,0,0,0,3,1,0,2,0,0,0,0
344,NE,2016,0,0,0,0,1,2,0,1,0,0,0
345,NE,2017,0,0,1,1,4,1,2,1,0,0,0
346,ND,1991,0,0,0,1,0,0,0,2,0,0,0
347,ND,1992,0,1,0,1,0,1,0,1,1,0,0
348,ND,1993,1,0,1,1,2,3,0,0,0,0,0
349,ND,1995,0,0,0,0,0,0,1,0,1,0,0
350,ND,1996,0,0,0,2,1,5,0,1,0,0,0
351,ND,1997,0,0,0,0,2,0,2,1,0,0,0
352,ND,1998,0,1,1,2,0,1,0,0,0,0,0
353,ND,1999,1,0,1,1,2,1,0,0,0,0,0
354,ND,2000,0,0,0,0,2,1,0,0,0,0,0
355,ND,2001,0,1,1,0,2,2,1,1,0,0,0
356,ND,2002,0,0,0,1,0,0,0,0,1,0,0
357,ND,2003,0,0,3,1,1,1,0,0,0,0,0
358,ND,2004,0,1,2,1,0,2,0,1,0,0,0
359,ND,2005,0,2,1,0,1,3,2,0,1,1,0
360,ND,2006,1,1,0,2,0,1,2,0,0,0,0
361,ND,2007,1,1,3,3,1,1,0,1,1,0,0
362,ND,2008,1,0,0,0,1,0,0,0,0,0,0
363,ND,2009,2,0,1,0,1,4,0,0,1,0,0
364,ND,2010,0,0,1,1,2,1,3,0,0,0,0
365,ND,2011,0,1,3,3,2,1,2,0,1,0,0
366,ND,2012,0,4,2,2,1,0,2,2,0,1,0
367,ND,2013,0,1,1,2,3,2,1,1,0,0,0
368,ND,2014,0,0,1,7,1,1,3,2,0,0,0
369,ND,2015,0,3,0,2,6,4,1,0,1,0,0
370,ND,2016,0,0,0,9,2,3,0,1,0,0,0
371,ND,2017,0,0,0,5,1,2,1,0,0,0,0
372,NH,2003,0,0,0,1,2,4,0,0,0,0,0
373,NH,2004,0,0,0,1,0,4,2,1,0,1,0
374,NH,2005,0,2,0,3,2,1,2,0,2,0,1
375,NH,2006,0,1,0,4,1,2,0,0,0,0,0
376,NH,2007,0,0,0,3,2,1,1,0,0,0,0
377,NH,2008,0,0,0,3,3,3,2,2,0,0,0
378,NH,2009,1,2,0,2,1,3,1,0,1,0,0
379,NH,2010,0,1,0,5,2,2,3,1,0,0,0
380,NH,2011,1,2,1,5,2,1,3,1,0,0,0
381,NH,2012,0,0,1,3,1,6,2,1,0,1,0
382,NH,2013,1,3,0,3,4,2,4,2,2,1,0
383,NH,2014,0,1,0,2,2,4,3,2,1,0,0
384,NH,2015,0,3,0,3,1,3,3,2,2,0,0
385,NH,2016,0,2,1,2,2,1,5,4,0,1,0
386,NH,2017,0,1,1,4,3,3,1,0,1,0,0
387,OH,1998,2,1,3,7,13,5,1,1,0,0,0
388,OH,1999,3,3,7,17,22,7,6,4,3,1,0
389,OH,2000,4,2,6,19,8,12,9,0,0,3,0
390,OH,2001,6,10,14,32,28,20,4,5,3,0,0
391,OH,2002,8,9,24,67,27,26,10,3,3,2,0
392,OH,2003,9,6,18,51,32,28,14,4,7,2,0
393,OH,2004,22,10,29,116,58,56,22,11,8,6,1
394,OH,2005,15,24,64,141,88,71,35,15,6,1,0
395,OH,2006,18,20,46,139,82,51,40,6,8,3,0
396,OH,2007,16,22,49,148,58,60,40,11,4,4,0
397,OH,2008,8,20,51,123,85,57,31,7,4,5,0
398,OH,2009,11,20,39,128,91,58,38,15,3,5,5
399,OH,2010,11,19,40,144,86,55,25,20,7,4,1
400,OH,2011,1,19,46,139,76,53,36,19,4,6,1
401,OH,2012,3,16,48,117,79,46,40,18,12,1,0
402,OH,2013,5,13,51,132,88,47,34,11,5,0,5
403,OH,2014,1,15,37,129,78,52,44,14,4,4,2
404,OH,2015,10,23,48,143,105,48,26,19,6,3,1
405,OH,2016,6,17,51,222,107,71,58,16,9,5,0
406,OH,2017,8,18,73,219,142,75,63,20,10,3,0
