,State,Origin,Agency Name,Agency Type Name,State Abbr,Division Name,Region Name,Region Desc,County Name,NIBRS,Latitude,Longitude,NIBRS Start Date
7230,MI,MI4726900,Brighton Police Department,City,MI,East North Central,Midwest,Region II,LIVINGSTON,True,42.52486,-83.78741,01/01/1996
7231,MI,MI4740500,Fowlerville Police Department,City,MI,East North Central,Midwest,Region II,LIVINGSTON,True,42.659294,-84.0731,01/01/1996
7232,MI,MI4745100,Hamburg Township Police Department,City,MI,East North Central,Midwest,Region II,LIVINGSTON,True,42.602532,-83.911718,01/01/1995
7233,MI,MI4748200,Howell Police Department,City,MI,East North Central,Midwest,Region II,LIVINGSTON,True,42.602532,-83.911718,01/01/1995
7234,MI,MI4766700,Pinckney Police Department,City,MI,East North Central,Midwest,Region II,LIVINGSTON,True,42.456112,-83.94631,01/01/1995
7235,MI,MI4786500,Green Oak Township Police Department,City,MI,East North Central,Midwest,Region II,LIVINGSTON,True,42.471466,-83.75533,01/01/1995
7236,MI,MI4794100,Unadilla Township Police Department,City,MI,East North Central,Midwest,Region II,LIVINGSTON,True,42.602532,-83.911718,01/01/1996
7237,MI,MI4804800,State Police: Luce County,State Police,MI,East North Central,Midwest,Region II,LUCE,True,46.940602,-85.582368,01/01/1998
7238,MI,MI4814800,Luce County Sheriff's Office,County,MI,East North Central,Midwest,Region II,LUCE,True,46.352745,-85.51368,01/01/1995
7239,MI,MI4904900,State Police: Mackinac County,State Police,MI,East North Central,Midwest,Region II,MACKINAC,True,46.167981,-85.303756,01/01/1998
7240,MI,MI4914900,Mackinac County Sheriff's Office,County,MI,East North Central,Midwest,Region II,MACKINAC,True,46.167981,-85.303756,01/01/1998
7241,MI,MI4954500,Mackinac Island Police Department,City,MI,East North Central,Midwest,Region II,MACKINAC,True,46.167981,-85.303756,01/01/1995
7242,MI,MI4972400,St. Ignace Police Department,City,MI,East North Central,Midwest,Region II,MACKINAC,True,45.868843,-84.72851,01/01/1996
7243,MI,MI5005000,State Police: Macomb County,State Police,MI,East North Central,Midwest,Region II,MACOMB,True,42.809315,-82.74824,01/01/1998
7244,MI,MI5015000,Macomb County Sheriff's Office,County,MI,East North Central,Midwest,Region II,MACOMB,True,42.615917,-82.886955,01/01/2004
7245,MI,MI5022000,Armada Police Department,City,MI,East North Central,Midwest,Region II,MACOMB,True,42.671467,-82.910869,11/01/1996
7246,MI,MI5030300,Center Line Police Department,City,MI,East North Central,Midwest,Region II,MACOMB,True,42.477386,-83.02923,01/01/1995
7247,MI,MI5036000,Eastpointe Police Department,City,MI,East North Central,Midwest,Region II,MACOMB,True,42.46462,-82.956505,01/01/2000
7248,MI,MI5040900,Fraser Police Department,City,MI,East North Central,Midwest,Region II,MACOMB,True,42.53879,-82.94969,01/01/1996
7249,MI,MI5061000,New Baltimore Police Department,City,MI,East North Central,Midwest,Region II,MACOMB,True,42.679012,-82.73422,01/01/1995
7250,MI,MI5069900,Richmond Police Department,City,MI,East North Central,Midwest,Region II,ST CLAIR; MACOMB,True,42.809315,-82.74824,01/01/1996
7251,MI,MI5070800,Romeo Police Department,City,MI,East North Central,Midwest,Region II,MACOMB,True,42.80256,-83.014206,01/01/1995
7252,MI,MI5071300,Roseville Police Department,City,MI,East North Central,Midwest,Region II,MACOMB,True,42.671467,-82.910869,01/01/1996
7253,MI,MI5072200,St. Clair Shores Police Department,City,MI,East North Central,Midwest,Region II,MACOMB,True,42.496677,-82.888504,01/01/1998
