State,Year,Acquaintance,Babysittee,Boyfriend or Girlfriend,Child of Boyfriend or Girlfriend,Child,Common Law Spouse,Employee,Employer,Friend,Grandchild,Grandparent,Homosexual Relationship,In-Law,Neighbor,Other Family Member,Otherwise Known,Parent,Unknown,Sibling,Stepchild,Spouse,Stepparent,Stepsibling,Stranger,Offender,Ex-Spouse
MT,2009,7,0,3,0,0,1,0,0,2,0,0,0,0,1,0,2,1,5,1,1,2,0,0,1,0,0
MT,2010,3,0,4,0,0,0,0,0,1,0,0,0,0,2,0,1,2,8,1,1,4,0,0,1,0,0
MT,2011,15,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,4,0,0,1,0,0,0,0,0
MT,2012,7,0,3,0,2,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,2,1,0,2,0,0
MT,2013,5,0,1,0,1,0,0,0,3,0,2,0,0,0,0,2,0,4,1,0,1,0,0,1,0,0
MT,2014,9,0,4,0,4,1,0,0,0,0,0,0,1,0,0,4,0,11,0,0,1,0,0,4,0,0
MT,2015,10,1,6,0,4,1,0,0,1,0,0,0,0,0,0,0,0,16,0,0,4,0,0,3,0,0
MT,2016,8,0,4,0,2,0,0,0,0,0,0,0,4,2,1,2,0,6,0,0,5,0,0,3,0,0
MT,2017,15,1,1,1,1,0,0,0,1,0,1,0,0,3,0,0,3,2,1,0,5,0,0,2,0,0
NE,2007,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,1
NE,2008,4,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1
NE,2009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,2010,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
NE,2011,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
NE,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
NE,2013,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
NE,2014,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0
NE,2015,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NE,2016,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NE,2017,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,1,0,0
ND,2007,5,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,1,0
ND,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ND,2009,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,2,0,0
ND,2010,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1
ND,2011,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,6,0,0,1,0,0,0,0,0
ND,2012,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,1,0,0,6,0,0
ND,2013,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,3,1,11,0,0,1,0,0,0,0,0
ND,2014,11,0,2,0,1,0,0,0,2,0,0,0,0,1,1,1,0,7,0,0,1,0,0,1,0,0
ND,2015,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,7,0,1
ND,2016,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1
ND,2017,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,2,0
NH,2007,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0
NH,2008,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,5,0,2,0,0,2,0,0,1,0,0
NH,2009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,4,0,0
NH,2010,7,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0
